procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 205072 223160400  31228 33509908    2    2   555  1251    0    0 16  3 78  3  0
 0 47 205072 222663008  31576 33512424    0    0 269997 82228 74192 140590  7  2 73 18  0
 7 38 205072 222380656  31576 33508876    0    0 240336 225339 88591 173267  4  2 59 36  0
 0 38 205072 222104016  31584 33508220    0    0 253328 210252 90055 178502  4  2 59 35  0
 6 40 205072 221822128  31584 33507960    0    0 252960 209769 98848 195530  6  2 61 31  0
 1 49 205072 221546976  31584 33507624    0    0 253936 208648 93195 180027  5  2 59 34  0
 5 48 205072 221258912  31584 33507480    0    0 258656 201374 98179 192704  5  2 59 34  0
 8 39 205072 221026672  31584 33507448    0    0 215200 257449 84913 164487  4  1 60 35  0
 0 44 205072 220765280  31584 33507368    0    0 237440 221387 97773 194338  5  2 57 35  0
 7 37 205072 220491616  31592 33507336    0    0 253792 208882 112146 220229  6  2 58 34  0
 2 45 205072 220193792  31592 33507232    0    0 267824 194310 110898 219976  6  2 58 34  0
10 35 205072 219870656  31592 33507120    0    0 308896 146557 130595 263511  7  3 57 34  0
22 33 205072 219418432  31596 33507040    0    0 408852 42227 172076 347442  9  3 55 32  0
 7 37 205072 218976496  31596 33506844    0    0 411856 38146 177028 357096 10  4 54 32  0
 8 38 205072 218523520  31604 33506556    0    0 419568 30809 184823 373894 11  4 53 32  0
11 37 205072 218072784  31604 33506396    0    0 419952 31628 193282 390419 12  4 53 32  0
 6 34 205072 217638160  31604 33506268    0    0 405824 43776 201026 407161 12  4 52 32  0
 8 35 205072 217195360  31604 33506204    0    0 409872 40110 201029 406737 12  4 52 32  0
11 28 205072 216751552  31604 33506060    0    0 412320 36244 214729 435617 12  4 52 32  0
13 35 205072 216313120  31604 33505984    0    0 406656 40246 217151 439652 13  4 51 32  0
15 29 205072 215888784  31612 33505872    0    0 388880 57179 215780 437428 13  4 51 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13 36 205072 215473136  31612 33505808    0    0 391200 56274 227346 461573 14  4 49 33  0
14 24 205072 215048320  31612 33505728    0    0 387808 56267 228758 464618 14  4 49 32  0
11 24 205072 214633904  31612 33505628    0    0 379936 64487 235916 475210 15  4 48 33  0
 9 36 205072 214206352  31612 33505616    0    0 380848 64168 238881 484951 16  5 47 33  0
23 29 205072 213809552  31620 33505488    0    0 384752 58187 265389 540328 17  5 44 33  0
17 23 205072 213399104  31620 33505328    0    0 378128 65155 246538 501240 17  5 46 33  0
17 20 205072 212978272  31620 33505264    0    0 386688 53923 264234 537517 18  5 44 33  0
 3 29 205072 212562128  31620 33504944    0    0 380880 56857 281666 573226 19  6 43 33  0
13 21 205072 212143376  31620 33504880    0    0 389680 48289 281611 572912 18  5 43 33  0
16 24 205072 211749920  31620 33504864    0    0 362224 74553 280457 570447 19  5 42 33  0
22 23 205072 211346064  31628 33504592    0    0 373120 59528 314361 641736 22  6 40 32  0
13 22 205072 210919248  31628 33504544    0    0 376800 58614 309396 631430 22  6 40 32  0
16 19 205072 210530512  31628 33504484    0    0 371952 59493 325451 663535 23  6 39 31  0
26 22 205072 210133888  31628 33504368    0    0 363488 67339 321237 654888 23  6 41 31  0
