procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 188408 221384928  30684 33456344    3    4   691  1624    0    0 23  4 69  4  0
 4 41 188408 220899952  31220 33457028    0    0 244113 55664 67598 124043  9  2 78 12  0
 1 40 188408 220587728  31220 33458260    0    0 262604 198664 87825 170896  5  2 61 32  0
 4 41 188408 220302144  31220 33460492    0    0 254272 207177 85488 168579  5  2 61 32  0
 0 34 188408 220044336  31220 33462828    0    0 235152 228196 83180 162707  5  2 62 31  0
 3 37 188408 219754928  31228 33465460    0    0 254592 204759 92990 181337  6  2 60 33  0
 1 35 188408 219457328  31228 33468800    0    0 270416 185126 97480 187376  6  2 61 32  0
 0 36 188408 219193200  31228 33471992    0    0 237680 223520 94142 180586  6  2 60 32  0
 6 36 188408 218939616  31228 33474936    0    0 228352 232052 88934 169260  5  2 61 32  0
 0 28 188408 218679968  31228 33477768    0    0 235664 223700 96265 185392  6  2 61 31  0
 1 33 188408 218404192  31236 33481556    0    0 248000 209037 99042 191590  6  2 59 33  0
 9 28 188408 218093072  31236 33485724    0    0 281824 170029 110258 220232  7  2 59 32  0
 3 19 188408 217698880  31236 33491412    0    0 357936 84625 140760 284191  9  3 56 32  0
12 29 188408 217258928  31236 33498008    0    0 397824 41635 156620 315907 11  3 54 32  0
 1 31 188408 216846752  31236 33503984    0    0 382336 55401 155858 315409 11  4 53 32  0
 2 29 188408 216404688  31244 33511276    0    0 406352 28184 170071 344732 12  3 53 32  0
 4 31 188408 215973296  31244 33518928    0    0 396320 39347 172876 351815 12  3 52 33  0
 5 27 188408 215555792  31244 33526740    0    0 380288 52644 176848 359038 13  4 51 32  0
 5 26 188408 215134688  31244 33534432    0    0 385056 48590 183033 370954 13  4 50 32  0
 5 20 188408 214710592  31244 33543004    0    0 381344 51507 185830 374759 15  4 50 31  0
12 24 188408 214290608  31244 33551440    0    0 380912 47970 184437 375667 14  4 49 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14 24 188408 213871744  31252 33560996    0    0 380736 47041 195989 400501 16  4 48 32  0
 5 25 188408 213437248  31252 33570688    0    0 390752 35161 195992 399511 16  4 49 31  0
 9 20 188408 213062080  31252 33579700    0    0 337168 89166 179067 366693 14  3 52 31  0
 7 23 188408 212700352  31252 33588244    0    0 326112 98114 188724 385833 15  4 51 31  0
 8 21 188408 212336032  31252 33597880    0    0 327344 94505 190986 390538 15  4 51 31  0
11 19 188408 211960912  31260 33607244    0    0 340544 82258 209409 428864 17  4 49 30  0
15 20 188408 211581712  31260 33617552    0    0 338480 81006 208587 427710 16  4 50 29  0
15 13 188408 211218528  31260 33628108    0    0 325888 96716 200812 411844 16  4 50 30  0
11 16 188408 210846784  31260 33638960    0    0 332896 85065 216779 445384 17  4 50 28  0
 8 21 188408 210483344  31260 33650868    0    0 322160 89897 220309 453360 18  4 50 27  0
29 12 188408 210118656  31268 33662524    0    0 327168 88118 220739 454265 19  4 49 29  0
12 20 188408 209747136  31268 33675060    0    0 331600 79128 239361 492251 19  5 49 27  0
17 22 188408 209386528  31268 33686944    0    0 320656 87715 238523 489512 20  5 49 26  0
13 14 188408 209030400  31268 33701016    0    0 315424 88773 247927 511839 22  5 48 25  0
18 18 188408 208687904  31268 33713132    0    0 303408 101872 229829 472051 19  4 50 26  0
12  8 188408 208328928  31268 33727040    0    0 317968 79172 249148 514214 20  5 50 25  0
15 12 188408 207982208  31276 33740844    0    0 305840 88513 261534 542319 22  5 48 24  0
12 18 188408 207639168  31276 33755804    0    0 301872 92956 265338 549869 23  5 48 24  0
20 13 188408 207291936  31276 33770004    0    0 308080 84515 270704 560760 23  5 47 24  0
22 19 188408 206945184  31276 33785368    0    0 306480 81908 279782 579277 23  6 48 23  0
22  9 188408 206613776  31276 33800568    0    0 291136 96015 270371 561581 23  5 48 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 19 188408 206285968  31284 33816012    0    0 291632 91639 281210 583433 25  6 47 22  0
16 21 188408 205954272  31284 33831844    0    0 290192 91621 286432 595503 24  6 48 22  0
14 10 188408 205613056  31284 33847816    0    0 303648 80382 294259 610846 25  6 47 22  0
22  9 188408 205275584  31284 33864308    0    0 296656 83174 298588 603649 26  6 47 21  0
19 13 188408 204949904  31284 33880604    0    0 288224 87765 301030 625973 27  6 47 21  0
20 14 188408 204628896  31292 33897796    0    0 281712 91622 304191 632465 26  6 47 21  0
44  5 188408 204300352  31292 33914876    0    0 288768 80360 315583 656531 28  7 46 20  0
18 11 188408 203982272  31292 33931000    0    0 280448 93591 300186 624919 26  6 47 21  0
17  9 188408 203664896  31292 33948220    0    0 279392 91658 316133 659362 27  6 46 20  0
13 14 188408 203342336  31292 33965920    0    0 283840 85440 319104 664360 28  7 46 20  0
21 16 188408 203020960  31300 33984180    0    0 280992 86211 321744 670868 29  6 46 19  0
 6 20 188408 202790720  31300 33996732    0    0 203136 197764 231334 482740 20  4 54 21  0
 6 34 188408 202513888  31300 34011780    0    0 243888 136199 288385 601754 26  6 48 20  0
15  9 188408 202238192  31300 34028888    0    0 240272 132930 288642 603583 25  6 50 19  0
22  8 188408 201966336  31300 34045136    0    0 239888 134114 295187 617313 26  6 49 19  0
27 13 188408 201688192  31308 34061664    0    0 244736 132490 305118 638222 27  6 47 19  0
27 14 188408 201417584  31308 34078032    0    0 235408 135728 300705 630240 27  6 48 19  0
27 15 188408 201153440  31308 34094136    0    0 232672 143493 286338 599470 26  6 49 19  0
19  9 188408 200891872  31308 34110276    0    0 230320 139832 292838 613404 26  6 49 19  0
21 12 188408 200627952  31308 34126760    0    0 231744 146629 288530 604569 25  5 50 19  0
 8 19 188408 200365104  31316 34142892    0    0 229168 140374 297832 623898 27  6 49 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25 13 188408 200088416  31316 34159980    0    0 242512 128202 306311 642081 28  6 48 19  0
31 14 188408 199826768  31316 34177372    0    0 230512 137146 305287 639943 28  7 48 18  0
19 11 188408 199560064  31316 34195192    0    0 233360 136741 302425 634114 27  6 49 18  0
26 10 188408 199293536  31316 34212204    0    0 234768 132688 315156 660901 28  6 47 18  0
20  5 188408 199028608  31316 34230156    0    0 231232 136637 301397 631241 27  6 48 19  0
14  8 188408 198763648  31324 34247368    0    0 233920 133040 310687 652252 28  6 48 18  0
18 11 188408 198499264  31324 34264760    0    0 232112 136316 309358 649384 28  7 47 18  0
23 13 188408 198234304  31324 34281892    0    0 234048 129715 317396 665213 29  6 47 18  0
15 11 188408 197979680  31324 34299780    0    0 224928 136463 313130 657718 27  6 48 18  0
19  5 188408 197714544  31324 34317636    0    0 232608 129555 314281 659839 29  6 47 17  0
18  8 188408 197463648  31332 34334536    0    0 222560 139868 308869 648991 27  6 49 18  0
32  9 188408 197201968  31332 34352240    0    0 231728 129254 320515 673015 29  6 47 18  0
18 12 188408 196942640  31332 34369860    0    0 225968 133790 314835 662871 29  7 48 17  0
34  8 188408 196686304  31332 34387600    0    0 224064 141081 307848 645617 28  6 48 18  0
30  9 188408 196424784  31332 34405808    0    0 230896 130414 325245 685110 30  7 46 17  0
20 12 188408 196169072  31340 34423540    0    0 225168 138166 309714 650505 28  6 48 17  0
24 13 188408 195908160  31340 34437848    0    0 228496 130488 327058 685930 30  7 46 17  0
39  9 188408 195650720  31340 34457008    0    0 226176 134777 321379 676633 29  6 48 17  0
33  8 188408 195403200  31340 34475352    0    0 216320 135133 334621 709947 31  7 46 15  0
26 14 188408 195148864  31340 34493096    0    0 223776 131877 323535 682087 31  7 47 16  0
32  9 188408 194940416  31340 34509140    0    0 180896 202384 266941 560904 24  5 52 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21 10 188408 194695872  31348 34527128    0    0 214896 142875 303461 636826 28  6 49 17  0
22  3 188408 194454352  31348 34544448    0    0 212960 150793 324647 654051 28  6 48 17  0
28 10 188408 194212880  31348 34562208    0    0 211152 146657 329772 662215 29  7 48 17  0
38  9 188408 193975600  31348 34579420    0    0 210720 150647 328668 658245 29  7 48 16  0
32 12 188408 193736112  31348 34597160    0    0 210880 146756 330896 681570 30  7 47 16  0
13 16 188408 193499232  31356 34614332    0    0 205984 154333 311375 654605 29  7 49 16  0
22  4 188408 193260176  31356 34633800    0    0 209952 144195 334214 707571 31  7 47 15  0
29  5 188408 193020064  31356 34651636    0    0 211248 144641 327886 693930 30  7 47 15  0
39  3 188408 192781472  31356 34670120    0    0 209040 147414 318221 668978 29  6 48 16  0
35  6 188408 192547008  31356 34687360    0    0 207792 147049 316033 664500 29  7 48 16  0
27 11 188408 192316480  31364 34705616    0    0 200448 151894 332216 702175 31  7 46 16  0
23  6 188408 192083264  31364 34723180    0    0 209792 147674 331893 700366 30  7 47 16  0
23  4 188408 191839424  31364 34741424    0    0 212096 147919 316014 665226 29  7 48 16  0
35  8 188408 191612784  31364 34760728    0    0 195072 152313 320720 679007 30  6 49 15  0
31  8 188408 191377760  31364 34778464    0    0 208640 145271 325836 686684 31  6 47 16  0
25  9 188408 191136896  31372 34798676    0    0 206496 145370 331653 700263 31  7 46 15  0
21  4 188408 190901088  31372 34817332    0    0 207168 144362 324134 683416 30  7 48 16  0
36  6 188408 190662496  31372 34836180    0    0 208800 144699 329364 697613 31  7 47 15  0
38  4 188408 190429520  31372 34854408    0    0 204928 148430 331678 701293 31  7 47 15  0
30  6 188408 190200848  31372 34871488    0    0 201120 148394 328637 692520 31  7 48 15  0
39  8 188408 189968384  31380 34891428    0    0 202800 145301 332306 702930 31  7 47 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25 14 188408 189742752  31380 34909300    0    0 197936 152645 325975 689461 29  7 49 15  0
19 11 188408 189507968  31380 34928032    0    0 204064 148807 324831 686032 30  7 48 15  0
28  6 188408 189277392  31380 34946724    0    0 199872 147711 332669 704118 30  7 48 15  0
41  5 188408 189045968  31380 34966060    0    0 203504 145972 338986 718856 32  7 47 14  0
34  8 188408 188812432  31380 34985628    0    0 202080 146827 334521 710820 31  7 47 14  0
24  3 188408 188594144  31388 35004824    0    0 191184 150548 326883 693684 31  7 49 14  0
18 13 188408 188363872  31388 35023944    0    0 198000 146464 336324 713369 31  7 48 14  0
24  8 188408 188178288  31388 35039268    0    0 164032 209749 287356 606504 26  6 53 15  0
15 17 188408 187959056  31388 35057684    0    0 190384 160866 323427 684289 30  7 49 14  0
31 10 188408 187737360  31388 35076136    0    0 193264 154498 330368 698416 31  7 48 14  0
37  6 188408 187513056  31396 35095824    0    0 193952 154615 331465 704530 31  7 48 14  0
23  5 188408 187294368  31396 35114632    0    0 191664 154837 331417 702015 31  7 48 14  0
20  6 188408 187073200  31396 35133988    0    0 188832 155068 332431 707006 32  7 48 13  0
18 15 188408 186861856  31396 35152728    0    0 188800 154872 330714 701966 31  7 48 14  0
32  5 188408 186643120  31396 35172228    0    0 184784 159112 331954 705486 32  7 48 13  0
27 11 188408 186428416  31404 35190576    0    0 187712 154989 335618 711904 32  7 48 14  0
38  3 188408 186213872  31408 35209544    0    0 187812 159131 338215 717909 32  7 48 13  0
38  7 188408 185997184  31408 35229416    0    0 186912 156228 338749 719901 33  7 47 13  0
43  8 188408 185775552  31408 35248784    0    0 189728 155823 334093 711395 32  7 48 13  0
21 13 188408 185562560  31408 35267800    0    0 185888 158347 333234 706367 32  7 48 14  0
23  8 188408 185354864  31416 35286364    0    0 180480 162832 333547 710641 32  7 47 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  7 188408 185142160  31416 35305540    0    0 185920 155930 340275 723286 33  7 47 13  0
31  5 188408 184930720  31416 35324656    0    0 181280 159166 336607 716934 32  7 47 13  0
 8 16 188408 184720544  31416 35344316    0    0 183456 156245 347249 737943 33  7 47 13  0
22  6 188408 184503360  31416 35364076    0    0 185392 156623 364568 745692 34  7 46 13  0
25  6 188408 184299280  31424 35383232    0    0 178336 160223 356730 724985 33  7 48 12  0
32  4 188408 184084992  31424 35403440    0    0 181008 160400 346956 723354 32  7 48 12  0
24  3 188408 183879136  31424 35422400    0    0 180848 157191 345634 740352 34  7 46 13  0
14 17 188408 183666944  31424 35442416    0    0 180400 160061 333268 711697 32  6 49 13  0
32  5 188408 183453488  31424 35460988    0    0 185152 156648 334746 716750 33  7 48 13  0
24 12 188408 183242432  31424 35481856    0    0 179568 160878 344059 736688 34  8 47 12  0
36  6 188408 183034960  31432 35501072    0    0 180704 156689 338149 720072 33  7 48 12  0
25 11 188408 182823584  31432 35520976    0    0 179776 164470 337550 720361 33  7 47 13  0
32  9 188408 182613792  31432 35541212    0    0 182464 157768 347559 745480 34  7 47 12  0
