procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 205072 223881792  31224 33513092    2    2   529  1221    0    0 16  3 79  3  0
 1 34 205072 223367568  31572 33513092    0    0 263949 76746 66498 127047  7  2 76 15  0
 4 33 205072 223164960  31572 33514956    0    0 240400 221319 81914 162883  4  1 62 33  0
 4 41 205072 223122656  31572 33516952    0    0 248192 213251 82649 164286  5  2 60 33  0
 7 36 205072 223108880  31572 33519656    0    0 259440 203472 93535 185440  6  2 61 32  0
 4 34 205072 223084704  31572 33522684    0    0 257552 201154 98737 188208  6  2 61 32  0
 8 30 205072 223070576  31580 33525456    0    0 253280 206805 95027 180333  5  2 61 32  0
 2 29 205072 223056928  31580 33528532    0    0 228864 239162 86976 168500  5  1 61 32  0
 5 32 205072 223046016  31580 33531268    0    0 196704 266656 76241 149764  4  1 63 31  0
 2 40 205072 223032128  31580 33534548    0    0 212528 248648 93042 179233  6  2 60 32  0
11 26 205072 223024320  31580 33536852    0    0 167520 290583 77613 156904  4  1 64 31  0
 0 23 205072 223017792  31588 33539104    0    0 155104 298964 77892 158710  5  1 64 30  0
 1 41 205072 223011472  31588 33541632    0    0 199632 252434 82858 169508  4  1 65 29  0
 0 30 205072 223000896  31588 33544932    0    0 218544 225240 99980 204913  6  2 63 30  0
 1 32 205072 222992672  31588 33548228    0    0 232720 209741 102867 211609  6  2 61 31  0
11 26 205072 222981312  31588 33552284    0    0 262832 175790 114591 234864  7  2 60 31  0
11 30 205072 222973712  31588 33555740    0    0 257280 179518 115215 235458  7  2 61 31  0
 7 21 205072 222968800  31596 33560220    0    0 283328 157063 123066 251686  8  2 59 31  0
 3 34 205072 222963328  31596 33564148    0    0 247280 197484 116435 231217  7  2 61 30  0
 8 26 205072 222959936  31596 33567912    0    0 271328 164944 122270 241158  7  2 62 30  0
 1 32 205072 222955120  31596 33571932    0    0 274400 166115 122532 239279  8  2 60 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 27 205072 222950592  31596 33575664    0    0 250096 195101 113549 227025  7  2 61 30  0
 7 26 205072 222946736  31604 33579516    0    0 249792 187190 114223 233611  7  2 60 30  0
 8 29 205072 222941984  31604 33584128    0    0 281072 158522 121755 248777  8  2 59 31  0
 1 48 205072 222932256  31604 33587420    0    0 253744 188676 115500 236102  7  2 60 30  0
 3 36 205072 222927296  31604 33591844    0    0 262960 175109 121446 248705  8  2 60 31  0
 8 37 205072 222922944  31604 33596416    0    0 259040 185707 115253 235986  7  2 61 31  0
 5 32 205072 222918896  31612 33600640    0    0 256496 184483 115856 236360  8  2 60 31  0
10 39 205072 222913984  31612 33604924    0    0 250016 187459 117872 241444  8  2 59 31  0
 2 34 205072 222909808  31612 33609488    0    0 273536 165768 118722 242705  8  2 60 30  0
 1 33 205072 222905632  31612 33614404    0    0 264336 175650 125071 256129  8  2 59 31  0
 0 31 205072 222900064  31612 33619136    0    0 257104 183181 125014 254625  8  2 58 31  0
 1 32 205072 222896608  31612 33623548    0    0 252592 186824 117398 240970  8  2 59 31  0
 3 36 205072 222891376  31620 33628296    0    0 268208 171360 126307 257686  9  2 58 31  0
 7 31 205072 222886352  31620 33632908    0    0 251392 184562 118995 243472  8  2 59 31  0
 0 28 205072 222881120  31620 33638100    0    0 268032 172806 130272 266352  9  2 58 32  0
 7 36 205072 222877504  31620 33642864    0    0 247312 192093 122265 249793  8  2 59 31  0
 1 40 205072 222872928  31620 33647828    0    0 247088 189504 124705 254684  8  2 59 30  0
 9 34 205072 222867264  31620 33652596    0    0 245232 193854 118128 241362  8  2 59 31  0
 5 41 205072 222862128  31628 33657848    0    0 251968 185708 125427 258112  8  2 58 31  0
 6 37 205072 222856352  31628 33662828    0    0 237408 199766 120926 249192  7  2 59 31  0
 5 29 205072 222852688  31628 33667008    0    0 231536 206644 118018 243002  8  2 59 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17 25 205072 222849088  31628 33670680    0    0 192384 247976 105295 218170  7  2 61 31  0
 5 36 205072 222844160  31628 33674660    0    0 192288 246833 110619 228664  7  2 60 31  0
 3 30 205072 222839664  31636 33679232    0    0 205248 233057 109920 226776  7  2 60 32  0
 5 34 205072 222836176  31636 33683340    0    0 211184 228794 113368 233947  7  2 60 31  0
 7 30 205072 222831760  31636 33687524    0    0 194208 238261 106974 218804  7  2 62 29  0
 0 46 205072 222828496  31636 33691052    0    0 172560 266612 100840 207152  6  2 62 30  0
 0 34 205072 222823168  31636 33695504    0    0 210544 225841 120502 247892  8  2 60 30  0
 9 19 205072 222819728  31636 33699200    0    0 202864 230801 110851 229670  7  2 60 31  0
11 30 205072 222815264  31644 33703968    0    0 200176 236601 112340 232140  7  2 60 31  0
 8 25 205072 222811184  31644 33708296    0    0 216048 221224 110954 229339  7  2 59 32  0
 0 31 205072 222807648  31644 33712140    0    0 166448 274123 98161 202197  6  2 62 30  0
 1 28 205072 222802704  31644 33716232    0    0 198400 239582 108601 224837  7  2 60 32  0
 0 35 205072 222798176  31644 33720464    0    0 202096 239302 111987 231924  7  2 60 31  0
 1 20 205072 222794176  31644 33724496    0    0 206656 230528 109615 226906  7  2 60 31  0
 3 37 205072 222788736  31652 33729380    0    0 214048 227283 114998 236812  7  2 60 31  0
 7 29 205072 222785664  31652 33733464    0    0 209744 223422 116375 240712  8  2 59 32  0
 7 27 205072 222782272  31652 33737156    0    0 164640 277293 95866 199769  6  2 62 31  0
 1 39 205072 222777376  31652 33741544    0    0 209568 226668 117359 242233  8  2 58 32  0
 4 32 205072 222772624  31652 33746332    0    0 203824 233724 110745 228657  7  2 60 31  0
 4 35 205072 222767904  31652 33750764    0    0 206480 228811 111563 230188  8  2 59 31  0
10 23 205072 222763568  31660 33755276    0    0 211344 227015 125629 249049  8  2 59 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 28 205072 222759680  31660 33758768    0    0 208336 229520 124579 245771  7  2 60 31  0
 5 29 205072 222755824  31660 33763324    0    0 177616 261361 104916 213915  6  2 61 31  0
 2 23 205072 222751024  31660 33767576    0    0 197680 244453 113157 234108  7  2 60 31  0
 1 32 205072 222746000  31660 33771936    0    0 215888 221811 115868 239258  7  2 59 31  0
 4 34 205072 222742512  31668 33776604    0    0 217456 225197 116465 240146  8  2 58 32  0
 6 36 205072 222737904  31668 33780620    0    0 201136 236144 110365 228225  7  2 60 31  0
 5 28 205072 222733792  31668 33785112    0    0 218192 219913 119883 247502  8  2 59 31  0
10 26 205072 222729568  31668 33789428    0    0 163552 276975 99701 207756  6  2 61 32  0
 5 31 205072 222725280  31668 33793872    0    0 213984 226022 118249 244843  8  2 59 31  0
 5 32 205072 222720096  31668 33799096    0    0 204336 237386 113961 236119  8  2 60 31  0
 5 24 205072 222715328  31676 33803796    0    0 217584 220343 120294 248078  8  2 59 31  0
 5 30 205072 222710944  31676 33808064    0    0 214048 227169 117463 242590  8  2 59 31  0
13 18 205072 222705952  31676 33813008    0    0 213280 224224 114165 236042  7  2 59 31  0
 1 37 205072 222701328  31676 33816988    0    0 166272 277419 104301 217077  7  2 61 31  0
 2 26 205072 222697696  31676 33821376    0    0 207296 228105 115718 237730  8  2 60 31  0
 7 24 205072 222691760  31684 33826768    0    0 217264 217831 120583 246891  8  2 59 31  0
 8 26 205072 222687680  31684 33831528    0    0 206704 231947 117651 241275  8  2 60 30  0
 6 26 205072 222681744  31684 33836888    0    0 209680 222961 116825 240806  7  2 60 30  0
 2 21 205072 222678144  31684 33841452    0    0 204064 235503 111111 230659  7  2 60 31  0
12 24 205072 222672560  31684 33846160    0    0 220576 210071 124547 257613  8  2 58 31  0
17 20 205072 222668432  31684 33850384    0    0 176800 262171 108986 222691  7  2 61 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 39 205072 222665520  31692 33854108    0    0 189104 252497 109325 226461  7  2 61 31  0
 3 37 205072 222654624  31692 33859328    0    0 210144 232293 116493 237751  8  2 60 30  0
 7 35 205072 222650896  31692 33863444    0    0 208784 232244 116113 239286  8  2 59 31  0
 4 23 205072 222645312  31692 33868284    0    0 216080 222584 118426 244262  8  2 59 31  0
 4 25 205072 222640240  31692 33872972    0    0 213280 224307 116383 239861  8  2 58 31  0
 6 32 205072 222637184  31700 33877640    0    0 218736 223323 124028 255652  9  2 58 31  0
 9 30 205072 222632096  31700 33882760    0    0 206944 230599 117502 242221  8  2 60 31  0
13 27 205072 222628096  31700 33887348    0    0 189216 245434 113102 235187  8  2 60 30  0
 1 30 205072 222624640  31700 33891676    0    0 191472 248813 111264 230430  8  2 59 32  0
 7 37 205072 222619744  31700 33896716    0    0 214336 224099 120439 249540  8  2 58 32  0
 7 27 205072 222614352  31700 33902208    0    0 214928 219600 132433 274001  9  2 57 32  0
 7 26 205072 222609168  31708 33907368    0    0 212880 219112 127596 263164  9  2 57 31  0
 3 36 205072 222605504  31708 33911288    0    0 218336 218985 114837 237246  8  2 59 31  0
 5 27 205072 222600464  31708 33916688    0    0 203280 234200 118146 244405  8  2 58 32  0
10 24 205072 222596064  31708 33921240    0    0 191728 252126 110127 228401  7  2 60 31  0
 9 34 205072 222590848  31708 33925904    0    0 206784 236294 117917 244155  8  2 59 31  0
 8 29 205072 222586544  31716 33930880    0    0 213120 228022 116689 240986  8  2 58 33  0
26 17 205072 222580928  31716 33936196    0    0 207792 231401 119798 247004  8  2 59 31  0
