procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 189176 220996064  30848 33451924    3    4   687  1607    0    0 23  4 69  4  0
 9 41 189176 220499072  31196 33452572    0    0 248945 63628 72989 138880  8  2 76 14  0
 2 40 189176 220193664  31196 33451580    0    0 265148 206035 93417 179983  5  2 60 33  0
 5 42 189176 219902880  31204 33451020    0    0 259568 205354 93944 186161  5  2 59 34  0
 1 46 189176 219618800  31204 33450580    0    0 263072 199624 96088 187841  5  2 58 35  0
 4 41 189176 219326016  31204 33450268    0    0 261552 200370 100705 193460  5  2 58 35  0
 1 37 189176 219052112  31204 33450124    0    0 253360 208925 103287 204002  7  2 56 34  0
 0 40 189176 218783136  31204 33450020    0    0 243200 220161 102753 199429  6  2 58 34  0
 2 48 189176 218573200  31204 33449660    0    0 196528 276942 86163 165561  5  2 59 35  0
 4 39 189176 218295312  31212 33449428    0    0 250704 211340 106574 211751  5  2 57 35  0
 4 42 189176 218009488  31212 33449228    0    0 267424 196456 111579 221279  6  2 58 34  0
13 41 189176 217677792  31212 33448956    0    0 301968 156605 131437 262341  8  3 56 34  0
 8 37 189176 217264736  31212 33448644    0    0 384080 69974 156547 315860  9  3 55 33  0
 9 32 189176 216802336  31212 33448456    0    0 422464 27070 183534 370955 11  3 53 32  0
10 29 189176 216358064  31220 33447676    0    0 415552 34878 196739 396060 12  4 52 32  0
 3 37 189176 215900864  31220 33447628    0    0 427808 23988 193738 390396 12  4 52 32  0
17 35 189176 215463776  31220 33447500    0    0 408208 42369 190151 383602 11  4 54 32  0
 9 36 189176 215025552  31220 33447452    0    0 406416 43780 200042 403520 12  4 52 32  0
12 33 189176 214596384  31220 33447388    0    0 399008 48026 202617 410368 13  4 51 32  0
 8 34 189176 214146272  31228 33447372    0    0 410784 36843 232309 466666 14  4 50 32  0
18 35 189176 213711408  31228 33447260    0    0 402464 45552 228605 463924 14  4 48 33  0
