procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 205072 224625792  31312 33509824    2    2   537  1230    0    0 15  3 79  3  0
 9 37 205072 224140224  31672 33509624    0    0 250117 71928 70658 135142  8  2 74 15  0
 4 46 205072 223845600  31672 33508808    0    0 246416 219315 88393 173831  4  2 58 36  0
 7 41 205072 223564368  31672 33508072    0    0 259296 205387 97860 191605  5  2 58 35  0
 1 47 205072 223291696  31672 33507416    0    0 251152 213674 93113 181972  5  2 59 35  0
 3 42 205072 222997072  31680 33507176    0    0 261056 205008 100741 196292  5  2 59 35  0
 4 43 205072 222734688  31680 33507048    0    0 243792 219107 98939 193164  5  2 58 35  0
 6 44 205072 222456304  31680 33506888    0    0 251584 214170 100969 191117  5  2 59 35  0
 0 45 205072 222235088  31680 33506824    0    0 203888 270078 89977 175691  5  2 59 34  0
 4 46 205072 221963520  31680 33506728    0    0 246672 217742 97540 191206  5  2 58 35  0
 1 38 205072 221682304  31680 33506584    0    0 261840 202717 118259 234535  6  2 57 35  0
14 28 205072 221318848  31688 33506248    0    0 331344 124095 133974 269938  7  3 57 33  0
10 36 205072 220881136  31688 33506120    0    0 404672 46273 177216 357892 10  3 54 33  0
 6 37 205072 220428896  31688 33505832    0    0 417424 34060 174577 351670 10  4 54 32  0
 8 36 205072 219976800  31688 33505768    0    0 423376 27127 192814 389073 11  4 53 32  0
15 36 205072 219534624  31688 33505672    0    0 411376 39118 187578 379761 11  4 54 32  0
 4 40 205072 219096272  31696 33505656    0    0 408656 42072 193339 391478 11  4 53 32  0
 8 32 205072 218665376  31696 33505512    0    0 396432 54970 202767 409824 13  4 51 32  0
 8 41 205072 218229152  31696 33505496    0    0 406576 42646 205293 415846 12  4 52 32  0
10 33 205072 217831424  31696 33505208    0    0 367392 80072 194818 394514 12  4 52 32  0
14 29 205072 217420976  31696 33505048    0    0 379232 66737 217314 440909 14  4 51 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18 35 205072 217014624  31700 33504996    0    0 376816 70461 209742 425293 13  4 50 33  0
 6 36 205072 216609792  31704 33504792    0    0 372560 73047 217125 438292 14  4 49 33  0
11 33 205072 216213872  31704 33504744    0    0 368464 78070 222709 451908 14  4 49 33  0
16 26 205072 215810624  31704 33504696    0    0 370416 73303 231631 471040 15  5 48 33  0
16 28 205072 215405776  31704 33504568    0    0 373744 69533 246767 501124 16  5 47 33  0
13 28 205072 215012576  31704 33504552    0    0 362640 80405 242049 491747 16  5 47 33  0
10 29 205072 214610640  31712 33504460    0    0 369840 72803 254375 516899 16  5 46 33  0
20 32 205072 214204800  31712 33504348    0    0 372464 65439 265364 539289 18  5 44 33  0
 8 28 205072 213815184  31712 33504204    0    0 360240 76931 273646 557810 18  5 43 33  0
13 24 205072 213417664  31712 33503980    0    0 362688 75047 270065 548543 19  5 43 33  0
25 21 205072 213031424  31712 33503744    0    0 358336 79482 284894 580279 20  5 42 33  0
17 18 205072 212641936  31720 33502360    0    0 353008 84323 302754 613360 21  6 41 32  0
23 22 205072 212251712  31720 33502272    0    0 361056 69501 317761 647624 23  6 40 31  0
13 23 205072 211863328  31720 33502272    0    0 354736 78761 325057 662754 23  6 40 31  0
19 25 205072 211476976  31720 33502216    0    0 355696 70982 325306 665287 24  6 39 31  0
11 22 205072 211097904  31720 33502184    0    0 348688 78950 326035 666314 23  6 40 31  0
24 21 205072 210717728  31720 33502184    0    0 352592 75355 345750 706963 25  7 39 29  0
22 22 205072 210337040  31728 33502156    0    0 349440 76810 348661 713452 26  7 38 29  0
18 20 205072 209962176  31728 33502172    0    0 345136 81851 350813 716002 27  7 38 28  0
16 21 205072 209577024  31728 33502156    0    0 354832 65644 382127 781106 28  7 37 27  0
10 23 205072 209197472  31728 33502028    0    0 352432 66823 385302 790313 29  8 37 27  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20 23 205072 208816784  31728 33502000    0    0 351552 64553 386132 792125 29  8 37 26  0
20 14 205072 208450592  31736 33501988    0    0 341376 74074 388247 798455 30  8 36 26  0
17 22 205072 208093856  31736 33501956    0    0 331872 81805 391986 806633 29  8 37 25  0
39 13 205072 207727664  31736 33501812    0    0 341456 71073 409637 842355 32  8 35 25  0
26 16 205072 207370400  31736 33501812    0    0 331792 80295 400358 819019 32  8 36 25  0
33 13 205072 207058880  31736 33501832    0    0 290144 131277 381025 765756 29  8 38 25  0
24 17 205072 206703824  31736 33501688    0    0 334032 73575 433197 864519 33  9 35 24  0
24 20 205072 206399728  31744 33501728    0    0 281488 131390 379157 756858 28  8 40 24  0
 8 25 205072 206125792  31744 33501480    0    0 282384 135205 374832 750676 27  7 39 26  0
 5 30 205072 206023264  31744 33501456    0    0 272736 145002 359899 735457 27  7 39 26  0
10 25 205072 206017936  31744 33501424    0    0 259648 154181 341460 702974 25  7 42 26  0
 3 31 205072 206018048  31744 33501424    0    0 253568 166124 329876 678939 25  7 42 27  0
 0 24 205072 206018048  31752 33501408    0    0 237088 179893 309673 636787 23  6 44 27  0
32  9 205072 206017920  31752 33501396    0    0 247920 171821 323924 662645 23  6 42 28  0
 8 24 205072 206018272  31752 33501304    0    0 196608 237661 246758 504992 17  4 48 31  0
14 19 205072 206018496  31752 33501080    0    0 174688 260311 215633 443802 15  4 49 32  0
14 16 205072 206018384  31752 33501080    0    0 148736 291700 188880 389325 13  3 53 32  0
 2 23 205072 206018416  31752 33501052    0    0 164944 269968 209373 430751 14  4 50 32  0
 0 22 205072 206018384  31760 33501088    0    0 150432 289895 190851 394787 13  3 52 33  0
 7 21 205072 206018368  31760 33501108    0    0 140288 299345 185636 382767 12  3 52 33  0
29 24 205072 206018528  31760 33501080    0    0 131936 309302 180943 372433 11  3 54 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5 27 205072 206018320  31760 33501168    0    0 129680 306967 179514 369205 11  3 53 32  0
 0 17 205072 206018272  31760 33501232    0    0 132720 305286 183790 378100 12  3 53 31  0
 3 26 205072 206018240  31768 33501272    0    0 131184 308269 179078 369485 12  3 54 32  0
19 22 205072 206018272  31768 33501248    0    0 131568 304881 182610 377128 12  3 53 32  0
 4 35 205072 206018288  31768 33501236    0    0 131856 311464 181799 374638 11  3 54 32  0
19 22 205072 206018400  31768 33501228    0    0 124672 314235 178164 366867 11  3 55 31  0
13 28 205072 206018368  31768 33501152    0    0 129840 312941 184795 381537 12  3 53 31  0
10 15 205072 206018400  31768 33501136    0    0 128064 309403 188004 386519 13  3 54 30  0
 2 18 205072 206018240  31776 33501164    0    0 134128 303195 186498 385102 11  3 54 32  0
 3 31 205072 206018192  31776 33501204    0    0 133264 308692 185689 384095 11  3 53 33  0
 7 19 205072 206018208  31776 33501248    0    0 123984 313634 186973 386049 11  3 55 31  0
33 29 205072 206018208  31776 33501272    0    0 130128 311812 191520 395552 12  3 54 31  0
 3 25 205072 206018208  31776 33501284    0    0 124352 311235 185719 383095 12  3 54 31  0
 6 21 205072 206018112  31784 33501380    0    0 128048 307804 191445 394463 12  3 53 31  0
 1 21 205072 206018272  31784 33501440    0    0 134320 307330 189755 392061 12  3 53 32  0
10 26 205072 206018352  31784 33501420    0    0 127648 309725 186836 385563 12  3 53 32  0
 9 25 205072 206018400  31784 33501436    0    0 126320 316150 187730 386870 12  3 53 32  0
